track_id,artist,artist_title,track,track_title
518465847,kawaiiton,𝕂𝔸𝕎𝔸𝕀𝕀𝕋𝕆ℕ,anuel-x-chico-sonido-la-noche-oscura-x-christine,ANUEL - La noche oscura x christine
794804059,krypt,krypt,bladee-lovestory-feat-ecco2k-krypt-rmx,Bladee — Lovestory (krypt remix)
1274960959,djanimebby,Dj Animebby,dj-animebby-ki55-m3,Dj Animebby - Ki55 M3
1215934435,lynyofficial,LYNY,danny-l-harle-on-a-mountain-lyny-remix,Danny L Harle - On a Mountain (LYNY Remix)
1261559698,flume,FLUME,dhlc,DHLC
