track_id,artist,artist_title,track,track_title
1004480833,osno1,laura les,haunted-1,Haunted
1140757354,ashnikko,Ashnikko ,halloweenie-iv-innards,Halloweenie IV: Innards
21792166,skrillex,Skrillex ,scary-monsters-and-nice,SCARY MONSTERS AND NICE SPRITES
823111990,danger-incorporated,Danger Incorporated,frankenstein,Frankenstein
242616127,danger-incorporated,Danger Incorporated,graveyard-ft-yung-ghoul,Graveyard (feat. Yung Ghoul)
516371775,yungearle,¥ung 3arle ,goosebumps,Goosebumps (Yung Earle Remix)
