track_id,artist,artist_title,track,track_title
505057155,baredex-522947753,baredex,as-long-as-we-got,as long as we got
859107265,mehdi-dookhoo,dj doog,dilemna-nelly-x-kelly-r-dj-doog-remix,DILEMNA NELLY x KELLY R DJ DOOG REMIX
1005059164,lilpolotee,POLO PERKS <3 <3 <3,snowpatrol-prod-goner,SnowPatrol Prod Goner
95834819,daftcrew,Daft Crew,modjo-lady-hear-me-tonight,Modjo - Lady (Hear Me Tonight)
1063872418,ritt-momney,Ritt Momney,escalator-1,Escalator
1047710704,bladee1000,BLADEE,i-think,I Think...
1141747369,chvrches,CHVRCHES,love-triple-j-like-a-version,LOVE (triple j Like A Version)
