track_id,artist,artist_title,track,track_title
1297804636,kr_sh,DJ Handsome Krish,green-da-ba-dee-da,Eiffel 65 - Blue (Flume Remix) (handsome greendub)
1300901917,kr_sh,DJ Handsome Krish,satisfaction-yookie-donkeydub,SATiSFACTiON (YOOKiE EDiT) (handsome donkeydub)
504013449,theguy-v3-because-why,TheGuy V.3 (OLD),shrek-rave-anthem,Shrek Rave Anthem
810120781,countbaldor,count baldor,this-is-one-dj-you-dont-want-to-fuck-with,This Is One DJ You Don't Want To Fuck With
701179420,saucysantana,SAUCY SANTANA,material-girl,Material Girl
1296244924,seshlehemuk,Seshlehem,livin-la-vida-loca-hbz-1,Livin La Vida Loca (HBZ Hardstyle Remix) - Seshlehem
1202860279,hikeii,@hikeii,amygdala,ecco2k & bladee - amygdala (@hikeii flip)
1198775374,djtravella,DJ Travella,london-uwoteee,London Uwoteee
